===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
57,,57,2010-03-25 00:00:00,8.247142791748047,8.248929023742676,8.08035659790039,8.094642639160156,542284400.0,,Sample01,57,733856.0,Broker,57,99929.33795638086,100010.28438277246,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2010-03-26 00:00:00,8.176786422729492,8.283928871154785,8.162500381469727,8.246429443359375,640875200.0,,Sample01,58,733857.0,Broker,58,99929.33795638086,100011.80225081445,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2010-03-29 00:00:00,8.321429252624512,8.352499961853027,8.272143363952637,8.299642562866211,540744400.0,,Sample01,59,733860.0,Broker,59,99929.33795638086,100012.33438200952,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2010-03-30 00:00:00,8.449999809265137,8.481429100036621,8.366070747375488,8.423213958740234,527310000.0,,Sample01,60,733861.0,Broker,60,99929.33795638086,100013.57009596826,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2010-03-31 00:00:00,8.410357475280762,8.450357437133789,8.373571395874023,8.39285659790039,430659600.0,,Sample01,61,733862.0,Broker,61,99929.33795638086,100013.26652235986,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2010-04-01 00:00:00,8.478928565979004,8.526070594787598,8.3125,8.427499771118164,603145200.0,,Sample01,62,733863.0,Broker,62,99929.33795638086,100013.61295409204,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2010-04-05 00:00:00,8.392143249511719,8.518214225769043,8.384642601013184,8.517499923706055,684507600.0,,Sample01,63,733867.0,Broker,63,99929.33795638086,100014.51295561792,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2010-04-06 00:00:00,8.507143020629883,8.579999923706055,8.464285850524902,8.555000305175781,447017200.0,,Sample01,64,733868.0,Broker,64,99929.33795638086,100014.88795943261,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2010-04-07 00:00:00,8.555356979370117,8.640000343322754,8.523571014404297,8.592857360839844,628502000.0,,Sample01,65,733869.0,Broker,65,99929.33795638086,100015.26652998925,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2010-04-08 00:00:00,8.587142944335938,8.626428604125977,8.501428604125977,8.569643020629883,572989200.0,,Sample01,66,733870.0,Broker,66,99929.33795638086,100015.03438658715,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2010-04-09 00:00:00,8.6225004196167,8.63892936706543,8.587857246398926,8.635356903076172,334182800.0,,Sample01,67,733871.0,Broker,67,99929.33795638086,100015.69152541162,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2010-04-12 00:00:00,8.649999618530273,8.681071281433105,8.63607120513916,8.653214454650879,333026400.0,,Sample01,68,733874.0,Broker,68,99929.33795638086,100015.87010092736,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2010-04-13 00:00:00,8.637857437133789,8.671428680419922,8.61107063293457,8.65821361541748,306210800.0,,Sample01,69,733875.0,Broker,69,99929.33795638086,100015.92009253503,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2010-04-14 00:00:00,8.760000228881836,8.778928756713867,8.71678638458252,8.774642944335938,404076400.0,,Sample01,70,733876.0,Broker,70,99929.33795638086,100017.08438582422,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2010-04-15 00:00:00,8.777856826782227,8.893928527832031,8.768214225769043,8.890000343322754,376784800.0,,Sample01,71,733877.0,Broker,71,99929.33795638086,100018.23795981408,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2010-04-16 00:00:00,8.8774995803833,8.96928596496582,8.733928680419922,8.835714340209961,750545600.0,,Sample01,72,733878.0,Broker,72,99929.33795638086,100017.69509978296,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2010-04-19 00:00:00,8.822500228881836,8.853214263916016,8.634642601013184,8.823928833007812,566924400.0,,Sample01,73,733881.0,Broker,73,99929.33795638086,100017.57724471093,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2010-04-20 00:00:00,8.876428604125977,8.901785850524902,8.677143096923828,8.735357284545898,738326400.0,,Sample01,74,733882.0,Broker,74,99929.33795638086,100016.69152922631,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2010-04-21 00:00:00,9.242856979370115,9.29464340209961,9.133213996887209,9.257857322692873,982391200.0,,Sample01,75,733883.0,Broker,75,99929.33795638086,100021.91652960778,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2010-04-22 00:00:00,9.222857475280762,9.526785850524902,9.149999618530272,9.516785621643066,793424800.0,,Sample01,76,733884.0,Broker,76,99929.33795638086,100024.50581259729,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2010-04-23 00:00:00,9.571070671081545,9.72071361541748,9.535714149475098,9.672499656677246,796955600.0,,Sample01,77,733885.0,Broker,77,99929.33795638086,100026.06295294763,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2010-04-26 00:00:00,9.710000038146973,9.730713844299316,9.578213691711426,9.625,479068800.0,,Sample01,78,733888.0,Broker,78,99929.33795638086,100025.58795638086,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2010-04-27 00:00:00,9.54535675048828,9.565713882446287,9.304286003112791,9.35857105255127,709343600.0,,Sample01,79,733889.0,Broker,79,99929.33795638086,100022.92366690637,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2010-04-28 00:00:00,9.401785850524902,9.428570747375488,9.157500267028809,9.342857360839844,758402400.0,,Sample01,80,733890.0,Broker,80,99929.33795638086,100022.76652998925,BuySell,80,,,Trades - Net Profit/Loss,80,,
